"filename", "language", "CMake Cache", "CMake", "C++", "C", "JSON", "Makefile", "Log", "TypeScript", "comment", "blank", "total"
"/mnt/c/Users/lynxv/Documents/GitHub/dns-sinkhole/server/build/CMakeCache.txt", "CMake Cache", 273, 0, 0, 0, 0, 0, 0, 0, 0, 60, 333
"/mnt/c/Users/lynxv/Documents/GitHub/dns-sinkhole/server/build/CMakeFiles/3.24.3/CMakeCCompiler.cmake", "CMake", 0, 55, 0, 0, 0, 0, 0, 0, 0, 18, 73
"/mnt/c/Users/lynxv/Documents/GitHub/dns-sinkhole/server/build/CMakeFiles/3.24.3/CMakeSystem.cmake", "CMake", 0, 10, 0, 0, 0, 0, 0, 0, 0, 6, 16
"/mnt/c/Users/lynxv/Documents/GitHub/dns-sinkhole/server/build/CMakeFiles/CMakeDirectoryInformation.cmake", "CMake", 0, 12, 0, 0, 0, 0, 0, 0, 0, 5, 17
"/mnt/c/Users/lynxv/Documents/GitHub/dns-sinkhole/server/build/CMakeFiles/Makefile.cmake", "CMake", 0, 38, 0, 0, 0, 0, 0, 0, 0, 6, 44
"/mnt/c/Users/lynxv/Documents/GitHub/dns-sinkhole/server/build/CMakeFiles/dns_server.dir/DependInfo.cmake", "CMake", 0, 17, 0, 0, 0, 0, 0, 0, 0, 6, 23
"/mnt/c/Users/lynxv/Documents/GitHub/dns-sinkhole/server/build/CMakeFiles/dns_server.dir/cmake_clean.cmake", "CMake", 0, 16, 0, 0, 0, 0, 0, 0, 0, 2, 18
"/mnt/c/Users/lynxv/Documents/GitHub/dns-sinkhole/server/build/CTestTestfile.cmake", "CMake", 0, 6, 0, 0, 0, 0, 0, 0, 0, 1, 7
"/mnt/c/Users/lynxv/Documents/GitHub/dns-sinkhole/server/build/cmake_install.cmake", "CMake", 0, 46, 0, 0, 0, 0, 0, 0, 0, 9, 55
"c:/Users/lynxv/Documents/GitHub/dns-sinkhole/server/build/.cmake/api/v1/query/client-vscode/query.json", "JSON", 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, -1
"c:/Users/lynxv/Documents/GitHub/dns-sinkhole/server/build/.cmake/api/v1/reply/cache-v2-4060fd0eba3169dcbcc7.json", "JSON", 0, 0, 0, 0, -1071, 0, 0, 0, 0, -1, -1072
"c:/Users/lynxv/Documents/GitHub/dns-sinkhole/server/build/.cmake/api/v1/reply/cmakeFiles-v1-86e28d2c816084f68395.json", "JSON", 0, 0, 0, 0, -97, 0, 0, 0, 0, -1, -98
"c:/Users/lynxv/Documents/GitHub/dns-sinkhole/server/build/.cmake/api/v1/reply/codemodel-v2-90d8ea6a7af8ca5a4b85.json", "JSON", 0, 0, 0, 0, -60, 0, 0, 0, 0, -1, -61
"c:/Users/lynxv/Documents/GitHub/dns-sinkhole/server/build/.cmake/api/v1/reply/directory-.-Debug-f5ebdc15457944623624.json", "JSON", 0, 0, 0, 0, -14, 0, 0, 0, 0, -1, -15
"c:/Users/lynxv/Documents/GitHub/dns-sinkhole/server/build/.cmake/api/v1/reply/index-2022-12-12T20-44-03-0944.json", "JSON", 0, 0, 0, 0, -132, 0, 0, 0, 0, -1, -133
"c:/Users/lynxv/Documents/GitHub/dns-sinkhole/server/build/.cmake/api/v1/reply/target-dns_server-Debug-1cefb26cb3471e7defa4.json", "JSON", 0, 0, 0, 0, -122, 0, 0, 0, 0, -1, -123
"c:/Users/lynxv/Documents/GitHub/dns-sinkhole/server/build/.cmake/api/v1/reply/toolchains-v1-34b192cfca0c6ee75807.json", "JSON", 0, 0, 0, 0, -52, 0, 0, 0, 0, -1, -53
"c:/Users/lynxv/Documents/GitHub/dns-sinkhole/server/build/CMakeFiles/3.24.3/CompilerIdC/CMakeCCompilerId.c", "C", 0, 0, 0, -640, 0, 0, 0, 0, -61, -138, -839
"c:/Users/lynxv/Documents/GitHub/dns-sinkhole/server/build/CMakeFiles/CMakeOutput.log", "Log", 0, 0, 0, 0, 0, 0, -203, 0, 0, -16, -219
"c:/Users/lynxv/Documents/GitHub/dns-sinkhole/server/build/CMakeFiles/dns_server.dir/compiler_depend.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, -2, 0, -1, -3
"c:/Users/lynxv/Documents/GitHub/dns-sinkhole/server/build/Makefile", "Makefile", 0, 0, 0, 0, 0, -112, 0, 0, -53, -55, -220
"c:/Users/lynxv/Documents/GitHub/dns-sinkhole/server/build/Testing/Temporary/LastTest.log", "Log", 0, 0, 0, 0, 0, 0, -3, 0, 0, -1, -4
"c:/Users/lynxv/Documents/GitHub/dns-sinkhole/server/build/compile_commands.json", "JSON", 0, 0, 0, 0, -12, 0, 0, 0, 0, 0, -12
"c:/Users/lynxv/Documents/GitHub/dns-sinkhole/server/dns.c", "C", 0, 0, 0, -150, 0, 0, 0, 0, -6, -39, -195
"c:/Users/lynxv/Documents/GitHub/dns-sinkhole/server/dns.h", "C++", 0, 0, -61, 0, 0, 0, 0, 0, -33, -12, -106
"c:/Users/lynxv/Documents/GitHub/dns-sinkhole/server/main.c", "C", 0, 0, 0, -63, 0, 0, 0, 0, -1, -22, -86
"c:/Users/lynxv/Documents/GitHub/dns-sinkhole/server/mylib.h", "C++", 0, 0, -4, 0, 0, 0, 0, 0, 0, -1, -5
"Total", "-", 273, 200, -65, -853, -1561, -112, -206, -2, -154, -179, -2659
