"filename", "language", "CMake Cache", "CMake", "comment", "blank", "total"
"/mnt/c/Users/lynxv/Documents/GitHub/dns-sinkhole/server/build/CMakeCache.txt", "CMake Cache", 273, 0, 0, 60, 333
"/mnt/c/Users/lynxv/Documents/GitHub/dns-sinkhole/server/build/CMakeFiles/3.24.3/CMakeCCompiler.cmake", "CMake", 0, 55, 0, 18, 73
"/mnt/c/Users/lynxv/Documents/GitHub/dns-sinkhole/server/build/CMakeFiles/3.24.3/CMakeSystem.cmake", "CMake", 0, 10, 0, 6, 16
"/mnt/c/Users/lynxv/Documents/GitHub/dns-sinkhole/server/build/CMakeFiles/CMakeDirectoryInformation.cmake", "CMake", 0, 12, 0, 5, 17
"/mnt/c/Users/lynxv/Documents/GitHub/dns-sinkhole/server/build/CMakeFiles/Makefile.cmake", "CMake", 0, 38, 0, 6, 44
"/mnt/c/Users/lynxv/Documents/GitHub/dns-sinkhole/server/build/CMakeFiles/dns_server.dir/DependInfo.cmake", "CMake", 0, 17, 0, 6, 23
"/mnt/c/Users/lynxv/Documents/GitHub/dns-sinkhole/server/build/CMakeFiles/dns_server.dir/cmake_clean.cmake", "CMake", 0, 16, 0, 2, 18
"/mnt/c/Users/lynxv/Documents/GitHub/dns-sinkhole/server/build/CTestTestfile.cmake", "CMake", 0, 6, 0, 1, 7
"/mnt/c/Users/lynxv/Documents/GitHub/dns-sinkhole/server/build/cmake_install.cmake", "CMake", 0, 46, 0, 9, 55
"Total", "-", 273, 200, 0, 113, 586
